"ID";"quesito";"nota"
"e2b9dc08";"Estilo";7
"e2b9dc08";"Acabamento";5
"e2b9dc08";"Posição de dirigir";7
"e2b9dc08";"Instrumentos";10
"e2b9dc08";"Interior";5
"e2b9dc08";"Porta-malas";5
"e2b9dc08";"Desempenho";10
"e2b9dc08";"Motor";10
"e2b9dc08";"Câmbio";10
"e2b9dc08";"Freios";10
"e2b9dc08";"Suspensão";10
"e2b9dc08";"Consumo";10
"e2b9dc08";"Estabilidade";10
"e2b9dc08";"Custo-Benefício";10
"e2b9dc08";"Recomendação";10
"3b9dcf63";"Estilo";10
"3b9dcf63";"Acabamento";8
"3b9dcf63";"Posição de dirigir";8
"3b9dcf63";"Instrumentos";8
"3b9dcf63";"Interior";6
"3b9dcf63";"Porta-malas";6
"3b9dcf63";"Desempenho";8
"3b9dcf63";"Motor";10
"3b9dcf63";"Câmbio";10
"3b9dcf63";"Freios";10
"3b9dcf63";"Suspensão";8
"3b9dcf63";"Consumo";10
"3b9dcf63";"Estabilidade";8
"3b9dcf63";"Custo-Benefício";10
"3b9dcf63";"Recomendação";10
"9f62a709";"Estilo";10
"9f62a709";"Acabamento";7
"9f62a709";"Posição de dirigir";8
"9f62a709";"Instrumentos";7
"9f62a709";"Interior";7
"9f62a709";"Porta-malas";8
"9f62a709";"Desempenho";7
"9f62a709";"Motor";10
"9f62a709";"Câmbio";7
"9f62a709";"Freios";10
"9f62a709";"Suspensão";9
"9f62a709";"Consumo";10
"9f62a709";"Estabilidade";8
"9f62a709";"Custo-Benefício";10
"9f62a709";"Recomendação";10
"0e6c8d29";"Estilo";8
"0e6c8d29";"Acabamento";4
"0e6c8d29";"Posição de dirigir";8
"0e6c8d29";"Instrumentos";10
"0e6c8d29";"Interior";7
"0e6c8d29";"Porta-malas";7
"0e6c8d29";"Desempenho";10
"0e6c8d29";"Motor";10
"0e6c8d29";"Câmbio";8
"0e6c8d29";"Freios";9
"0e6c8d29";"Suspensão";8
"0e6c8d29";"Consumo";10
"0e6c8d29";"Estabilidade";10
"0e6c8d29";"Custo-Benefício";9
"0e6c8d29";"Recomendação";10
"3c958631";"Estilo";7
"3c958631";"Acabamento";6
"3c958631";"Posição de dirigir";5
"3c958631";"Instrumentos";7
"3c958631";"Interior";6
"3c958631";"Porta-malas";4
"3c958631";"Desempenho";8
"3c958631";"Motor";9
"3c958631";"Câmbio";7
"3c958631";"Freios";7
"3c958631";"Suspensão";6
"3c958631";"Consumo";8
"3c958631";"Estabilidade";9
"3c958631";"Custo-Benefício";8
"3c958631";"Recomendação";9
"852a54b4";"Estilo";8
"852a54b4";"Acabamento";7
"852a54b4";"Posição de dirigir";8
"852a54b4";"Instrumentos";10
"852a54b4";"Interior";7
"852a54b4";"Porta-malas";6
"852a54b4";"Desempenho";9
"852a54b4";"Motor";9
